Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENGREST_heat_load_shifting_1
0,1,0.4136,1,1,1,1,1,1,0.2949,0.4136,0,1,0.3184,1,1,1,1,1,1,0.1727,0.3184,0,1,0.6451,1,1,0.5246,0.6451,0,1,1,1,1,1,0.396942616,0,0.692882299,0.469610923
1,1,0.4135,1,1,1,1,1,1,0.2855,0.4135,0,1,0.3184,1,1,1,1,1,1,0.1644,0.3184,0,1,0.6452,1,1,0.5049,0.6452,0,1,1,1,1,1,0.351704359,0,0.756700516,0.444055099
2,1,0.4134,1,1,1,1,1,1,0.2822,0.4134,0,1,0.3184,1,1,1,1,1,1,0.2645,0.3184,0,1,0.6453,1,1,0.4734,0.6453,0,1,1,1,1,1,0.397691101,0,0.573801279,0.425144998
3,1,0.4132,1,1,1,1,1,1,0.2999,0.4132,0,1,0.3184,1,1,1,1,1,1,0.214,0.3184,0,1,0.6454,1,1,0.443,0.6454,0,1,1,1,1,1,0.427253336,0,0.457804859,0.415538908
4,1,0.4131,1,1,1,1,1,1,0.2623,0.4131,0,1,0.3184,1,1,1,1,1,1,0.1407,0.3184,0,1,0.6455,1,1,0.4305,0.6455,0,1,1,1,1,1,0.339119017,0,0.468307495,0.414088932
5,1,0.413,1,1,1,1,1,1,0.1912,0.413,0,1,0.3184,1,1,1,1,1,1,0.0858,0.3184,0,1,0.6456,1,1,0.3967,0.6456,0,1,1,1,1,1,0.236915365,0,0.412337005,0.421399227
6,1,0.4128,1,1,1,1,1,1,0.136,0.4128,0,1,0.3183,1,1,1,1,1,1,0.1152,0.3183,0,1,0.6457,1,1,0.342,0.6457,0,1,1,1,1,1,0.193665192,0,0.262161851,0.437046883
7,1,0.4127,1,1,1,1,1,1,0.1334,0.4127,0,1,0.3183,1,1,1,1,1,1,0.1681,0.3183,0,1,0.6458,1,1,0.2295,0.6458,0,1,1,1,1,1,0.214257017,0,0.125884831,0.451244563
8,1,0.4126,1,1,1,1,1,1,0.0745,0.4126,0.1779,1,0.3183,1,1,1,1,1,1,0.1389,0.3183,0.2003,1,0.6459,1,1,0.1839,0.6459,0.0921,1,1,1,1,1,0.137640193,0.307505727,0.016297186,0.475350411
9,1,0.4124,1,1,1,1,1,1,0.0048,0.4124,0.429,1,0.3183,1,1,1,1,1,1,0,0.3183,0.4221,1,0.646,1,1,0.0605,0.646,0.3908,1,1,1,1,1,0.001854794,0.664258897,0.006198792,0.498852102
